# test
 8,40
12,34
20,30
30,27
32,25
37,31
40,25
41,30
45,24
48,34
52,29
54,38
66,23
68,20
69,37
71,25
73,38
74,28
75,30
76,36
79,28
81,31
84,35
96,36
97,40
100,26
101,24
106,33
108,21
112,26
113,29
114,23
118,35
121,40
122,22
123,26
126,24
131,23
135,29
136,20
137,23
138,25
142,22
146,20
148,35
149,25
154,25
156,23
157,27
161,36
162,25
163,21
164,28
165,23
167,24
168,31
171,20
173,24
175,22
176,36
179,24
180,28
183,32
185,27
186,40
187,27
190,30
192,20
195,36
196,20
199,20
204,29
206,22
217,36
218,27
226,32
227,34
237,30
243,36
247,20
248,37
251,29
255,37
257,30
259,32
265,27
272,32
274,30
277,30
283,31
284,30
285,20
287,37
306,20
322,25
324,34
331,29
338,32
340,25
348,28
350,30
352,32
357,32
365,34
367,29
368,24
371,32
372,33
382,24
383,37
388,28
395,39
396,22
402,37
403,24
404,25
411,36
412,34
413,36
419,20
420,22
421,36
423,29
424,27
426,31
428,27
430,36
432,35
433,24
434,20
438,24
446,20
448,22
449,34
451,35
462,21
464,27
467,26
470,32
473,21
476,34
480,34
481,26
482,20
483,34
490,27
492,24
494,27
501,38
507,30
509,21
515,25
517,21
518,29
519,22
525,31
526,39
528,30
529,23
530,27
534,30
539,29
540,37
544,20
546,32
550,23
553,35
555,34
556,24
557,31
559,39
568,29
573,26
574,28
576,23
580,29
582,25
585,24
589,22
590,22
591,39
595,39
597,21
603,31
611,25
614,22
616,25
623,29
633,36
635,21
641,20
644,24
647,33
658,36
667,22
668,28
673,24
674,22
676,40
677,25
683,36
689,21
692,24
695,23
701,24
703,29
714,23
724,33
730,27
731,35
734,33
735,36
737,27
743,24
745,39
752,36
753,36
760,20
761,31
768,33
770,39
771,34
772,20
775,20
777,20
778,39
779,25
780,29
781,31
784,26
787,27
793,26
794,24
802,36
817,26
821,32
827,20
828,37
829,35
834,37
836,27
837,23
839,30
850,30
852,22
853,24
860,36
861,20
865,28
869,21
872,27
874,22
877,34
891,22
893,30
900,23
902,33
905,24
906,24
908,39
910,38
912,22
920,20
923,38
928,22
929,29
931,32
935,21
937,27
942,36
